item_cd,item_nm,s_price,f_price,o_price,l_price,physical_qty,item_cl_stock,enc_company_description,enc_department_description,enc_size_description,enc_style_description,location,Department,Size,Style,Age,Style-3
111C6007201739,"ACCESSORIES,F",490,490,0,280,0,3,REVA,ACCESSORIES,FREE,PS SQRPATCH,,C6,007,2017,39,201
111C6007108539,"ACCESSORIES,F",100,100,0,65,0,12,REVA,ACCESSORIES,FREE,COIN PURSE,FLOOR,C6,007,1085,39,108
111C6007112239,"ACCESSORIES,F",90,90,0,65,0,18,REVA,ACCESSORIES,FREE,JWELLERY BOX,FLOOR,C6,007,1122,39,112
111C6007074939,"ACCESSORIES,F",100,100,0,65,0,19,REVA,ACCESSORIES,FREE,SAREE BAG BDR,FLOOR,C6,007,0749,39,074
111C6007204339,"ACCESSORIES,F",440,440,0,280,0,1,REVA,ACCESSORIES,FREE,GLASS BAG,FLOOR,C6,007,2043,39,204
111C6007525739,"ACCESSORIES,FREE",110,110,55,65,0,5,REVA,ACCESSORIES,FREE,MBL POUCH,FLOOR,C6,007,5257,39,525
111C6007221539,"ACCESSORIES,F",590,590,0,390,0,84,REVA,ACCESSORIES,FREE,HANDLE BAG,FLOOR,C6,007,2215,39,221
111C6007230539,"ACCESSORIES,F",440,440,0,280,0,38,REVA,ACCESSORIES,FREE,BOW BAG,FLOOR,C6,007,2305,39,230
111C6007447239,"ACCESSORIES,F",440,440,0,280,0,22,REVA,ACCESSORIES,FREE,DORI BAG,FLOOR,C6,007,4472,39,447
111C6007451339,"ACCESSORIES,F",690,690,0,450,0,1,REVA,ACCESSORIES,FREE,BRO BELTBAG,FLOOR,C6,007,4513,39,451
111C6007464539,"ACCESSORIES,F",350,350,0,250,0,1,REVA,ACCESSORIES,FREE,NECK POTALI,FLOOR,C6,007,4645,39,464
111C6007221839,"ACCESSORIES,FREE",490,490,55,280,0,29,REVA,ACCESSORIES,FREE,ROUND PATTI,FLOOR,C6,007,2218,39,221
111C6007437939,"ACCESSORIES,FREE",590,590,200,350,0,2,REVA,ACCESSORIES,FREE,COT QUILT BAG,FLOOR,C6,007,4379,39,437
111C6007433539,"ACCESSORIES,F",80,80,0,65,0,1,REVA,ACCESSORIES,FREE,HAIR BAND-FLAT,FLOOR,C6,007,4335,39,433
111C6007667139,"ACCESSORIES,F",90,90,0,65,0,13,REVA,ACCESSORIES,FREE,ANKLET 3MOTI,FLOOR,C6,007,6671,39,667
111C6007685339,"ACCESSORIES,FREE",290,290,100,190,0,9,REVA,ACCESSORIES,FREE,DAIRY DORI 23*16,FLOOR,C6,007,6853,39,685
111C6007624839,"ACCESSORIES,F",70,70,0,70,0,10,REVA,ACCESSORIES,FREE,ANKLET MOTI,FLOOR,C6,007,6248,39,624
111C6007612639,"ACCESSORIES,FREE",190,190,70,100,0,3,REVA,ACCESSORIES,FREE,DAIRY DORI 18*13,FLOOR,C6,007,6126,39,612
111C6007611339,"ACCESSORIES,FREE",210,210,80,150,0,2,REVA,ACCESSORIES,FREE,DAIRY BUTTON 18*13,FLOOR,C6,007,6113,39,611
111C6007821239,"ACCESSORIES,FREE",450,450,155,250,0,203,REVA,ACCESSORIES,FREE,AJRAKH UTILITY3PCSPOUCH,FLOOR,C6,007,8212,39,821
111C6007153L39,"ACCESSORIES,FREE",,250,55,55,0,2,REVA,ACCESSORIES,FREE,SQUARE POTLI MIX,FLOOR,C6,007,153L,39,153
111C6007153T39,"ACCESSORIES,FREE",,290,75,65,0,2,REVA,ACCESSORIES,FREE,SQUARE POTLI BOX,FLOOR,C6,007,153T,39,153
111D0003175124,"ANARKALI,XL",890,890,0,580,0,1,REVA,ANARKALI,XL,COT KEDSBR4PB,FLOOR,D0,003,1751,24,175
111C7001109TA3,"BLOUSE,M",0,850,850,0,0,1,REVA,BLOUSE,M,MAL DABUDOTS3PRIPLITS.IND,FLOOR,C7,001,109T,A3,109
111C7000109TA3,"BLOUSE,S",0,850,850,0,0,1,REVA,BLOUSE,S,MAL DABUDOTS3PRIPLITS.IND,FLOOR,C7,000,109T,A3,109
111A2002003685,"COT CHUDIDAR,L",0,550,0,0,0,3,REVA,COT CHUDIDAR,L,WHITE,FLOOR,A2,002,0036,85,003
111E2002385539,"COT PENT,L",790,790,0,580,0,1,REVA,COT PANT,L,COT PLAIN PANT.GR.BEIGE,FLOOR,E2,002,3855,39,385
111E2002003639,"COT PANT,L",790,790,790,520,0,9,REVA,COT PANT,L,WHITE,FLOOR,E2,002,0036,39,003
111E2002000039,"COT PANT,L",790,790,790,520,0,7,REVA,COT PANT,L,BLACK,FLOOR,E2,002,0000,39,000
111E2002004739,"COT PANT,L",790,790,790,520,0,7,REVA,COT PANT,L,OFF WHITE,FLOOR,E2,002,0047,39,004
111E2002453539,"COT PENT,L",790,790,0,580,0,1,REVA,COT PANT,L,COT PLAIN PANT.DA.BDG,FLOOR,E2,002,4535,39,453
111E2002385339,"COT PENT,L",790,790,0,580,0,1,REVA,COT PANT,L,COT PLAIN PANT.NAVY BLUE,FLOOR,E2,002,3853,39,385
111E2002440139,"COT PENT,L",790,790,0,580,0,2,REVA,COT PANT,L,COT PLAIN PANT.RUST,FLOOR,E2,002,4401,39,440
